LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,Default_Payment,Bill_Amount_Total,Pay_Amount_Total,Bill_Amount_Average,Pay_Amount_Average,Repayment_Status_Total,Repayment_Status_Average,Bill_Amount_Total_cluster,Bill_Amount_Average_cluster,Pay_Amount_Total_cluster,Pay_Amount_Average_cluster,Repayment_Status_Total_cluster,Repayment_Status_Average_cluster,AGE_cluster
20000,2,2,1,24,1,7704,689,1284.0,114.83333333333333,-2,-0.3333333333333333,0,0,0,0,2,9,3
120000,2,2,2,26,1,17077,5000,2846.1666666666665,833.3333333333334,3,0.5,0,0,0,0,1,0,6
90000,2,2,2,34,0,101653,11018,16942.166666666668,1836.3333333333333,0,0.0,0,0,0,0,4,4,8
50000,2,2,1,37,0,231334,8388,38555.666666666664,1398.0,0,0.0,3,3,0,0,4,4,4
50000,1,2,1,57,0,109339,59049,18223.166666666668,9841.5,-2,-0.3333333333333333,0,0,2,2,2,9,2
50000,1,1,2,37,0,238114,7772,39685.666666666664,1295.3333333333333,0,0.0,3,3,0,0,4,4,4
500000,1,1,2,29,0,2724595,180759,454099.1666666667,30126.5,0,0.0,2,2,1,1,4,4,0
100000,2,2,2,23,0,13486,4791,2247.6666666666665,798.5,-3,-0.5,0,0,0,0,2,9,3
140000,2,3,1,28,0,65212,6761,10868.666666666666,1126.8333333333333,2,0.3333333333333333,0,0,0,0,1,0,6
20000,1,3,2,35,0,26919,14129,4486.5,2354.8333333333335,-10,-1.6666666666666667,0,0,0,0,8,6,8
200000,2,3,2,34,0,34467,6472,5744.5,1078.6666666666667,1,0.16666666666666666,0,0,0,0,4,4,8
260000,2,1,2,51,0,88369,66308,14728.166666666666,11051.333333333334,-3,-0.5,0,0,2,2,2,9,5
70000,1,2,2,30,1,338685,10700,56447.5,1783.3333333333333,7,1.1666666666666667,3,3,0,0,6,7,0
250000,1,1,2,29,0,373591,18000,62265.166666666664,3000.0,0,0.0,3,3,0,0,4,4,0
50000,2,3,-1,23,0,196416,6200,32736.0,1033.3333333333333,3,0.5,3,3,0,0,1,0,3
20000,1,1,2,24,1,106161,6350,17693.5,1058.3333333333333,8,1.3333333333333333,0,0,0,0,6,7,3
320000,1,1,1,49,0,966014,361897,161002.33333333334,60316.166666666664,-3,-0.5,4,4,3,3,2,9,5
360000,2,1,1,49,0,0,0,0.0,0.0,-9,-1.5,0,0,0,0,8,6,5
180000,2,1,2,29,0,0,0,0.0,0.0,-9,-1.5,0,0,0,0,8,6,0
130000,2,3,2,39,0,123883,42231,20647.166666666668,7038.5,-1,-0.16666666666666666,0,0,2,2,4,4,9
120000,2,2,1,39,1,1896,1580,316.0,263.3333333333333,-6,-1.0,0,0,0,0,5,1,9
70000,2,2,2,26,1,265475,11010,44245.833333333336,1835.0,8,1.3333333333333333,3,3,0,0,6,7,6
450000,2,1,1,40,1,26965,22589,4494.166666666667,3764.8333333333335,-12,-2.0,0,0,0,0,0,2,9
90000,1,1,2,23,0,31864,16400,5310.666666666667,2733.3333333333335,-1,-0.16666666666666666,0,0,0,0,4,4,3
